id,vid,name,name_en,external_uri,weight,parent
HES-000271,relative_datation,pozdní středověk,Late Middle Ages,http://vocab.getty.edu/aat/300111307,1920,HES-000413
HES-000328,relative_datation,vrcholný středověk,High Middle Ages,http://vocab.getty.edu/aat/300111307,1910,HES-000413
HES-000384,relative_datation,doba bronzová–halštatská,Bronze Age–Hallstatt Period,http://vocab.getty.edu/aat/300019279,900,HES-000403
HES-000379,relative_datation,raný středověk 3,Early Middle Ages 3,http://vocab.getty.edu/aat/300020764,1840,HES-001471
HES-000391,relative_datation,protoúnětická kultura,Proto-Únětice Culture,http://vocab.getty.edu/aat/300019361,711,HES-001480
HES-000380,relative_datation,středověk,Middle Ages,http://vocab.getty.edu/aat/300020756,2000,HES-000414
HES-000252,relative_datation,novověk,Modern Period,http://vocab.getty.edu/aat/300021033,2100,HES-000415
HES-000371,relative_datation,chamská kultura,Cham Culture,http://vocab.getty.edu/aat/300106753,532,HES-001477
HES-000388,relative_datation,saská lužická kultura,Saxonian-Lusatian Culture,http://vocab.getty.edu/aat/300019362,746,HES-001483
HES-000302,relative_datation,vyspělé středohradištní období,Advanced Middle Hillfort Period,http://vocab.getty.edu/aat/300020764,1842,HES-001471
HES-000373,relative_datation,jevišovická kultura,Jevišovice Culture,http://vocab.getty.edu/aat/300106755,541,HES-001478
HES-000273,relative_datation,vrcholný středověk–novověk,High Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2200,HES-000416
HES-000325,relative_datation,raný středověk 4,Early Middle Ages 4,http://vocab.getty.edu/aat/300020766,1850,HES-001472
HES-000382,relative_datation,novověk 2,Modern Period 2,http://vocab.getty.edu/aat/300021147,2120,HES-000415
HES-000344,relative_datation,dobrodzieńská skupina,Dobrodzień Group,http://vocab.getty.edu/aat/300106913,1411,HES-001469
HES-000297,relative_datation,štítarská kultura,Štítary Culture,http://vocab.getty.edu/aat/300019278,754,HES-001484
HES-000294,relative_datation,chebská kultura,Cheb Culture,http://vocab.getty.edu/aat/300019278,745,HES-001483
HES-000259,relative_datation,kobylská skupina,Kobyly Group,http://vocab.getty.edu/aat/300019384,1041,HES-001462
HES-000389,relative_datation,kultura münchshöfenská,Münchshofen Culture,http://vocab.getty.edu/aat/300019272,424,HES-001474
HES-000341,relative_datation,mladší doba římská,Late Roman Period,http://vocab.getty.edu/aat/300020533,1220,HES-001466
HES-000295,relative_datation,slezskoplatěnická kultura,Silesian-Platěnice Culture,http://vocab.getty.edu/aat/300019362,751,HES-001484
HES-000318,relative_datation,kultura zvoncovitých pohárů,Bell Beaker Culture,http://vocab.getty.edu/aat/300106854,553,HES-001479
HES-000276,relative_datation,raný středověk 2–4,Early Middle Ages 2–4,http://vocab.getty.edu/aat/300020760,1820,HES-000412
HES-000284,relative_datation,paleolit–mezolit,Palaeolithic–Mesolithic,http://vocab.getty.edu/aat/300106724,300,HES-000397
HES-000317,relative_datation,badenská kultura,Baden Culture,http://vocab.getty.edu/aat/300390564,531,HES-001477
HES-000268,relative_datation,starší neolit,Early Neolithic,http://vocab.getty.edu/aat/300019270,410,HES-001473
HES-000332,relative_datation,halštatská mohylová kultura,Hallstatt Tumulus Culture,http://vocab.getty.edu/aat/300019368,813,HES-001485
HES-000322,relative_datation,střední doba bronzová,Middle Bronze Age,http://vocab.getty.edu/aat/300019277,720,HES-001481
HES-000339,relative_datation,milavečská kultura,Milavče Culture,http://vocab.getty.edu/aat/300019278,743,HES-001483
HES-000313,relative_datation,taubachien,Taubachian,http://vocab.getty.edu/aat/300019261,122,HES-001464
HES-000349,relative_datation,industriální období 2,Industrial Period 2,http://vocab.getty.edu/aat/300404514,2420,HES-000417
HES-000324,relative_datation,českofalcká mohylová kultura,Bohemian-Palatinate Tumulus Culture,http://vocab.getty.edu/aat/300019360,722,HES-001481
HES-000358,relative_datation,únětická kultura,Únětice Culture,http://vocab.getty.edu/aat/300019361,712,HES-001480
HES-000393,relative_datation,plaňanský typ,Plaňany Type,http://vocab.getty.edu/aat/300020533,1211,HES-001465
HES-000320,relative_datation,hatvanská kultura,Hatvan Culture,http://vocab.getty.edu/aat/300019276,714,HES-001480
HES-000361,relative_datation,kultura s vypíchanou keramikou,Stroke Pottery Culture,http://vocab.getty.edu/aat/300106849,421,HES-001474
HES-000258,relative_datation,pozdní doba laténská (LtD),Final La Tène Period (LtD),http://vocab.getty.edu/aat/300019384,1040,HES-001462
HES-000253,relative_datation,paleolit,Palaeolithic,http://vocab.getty.edu/aat/300019258,100,HES-000395
HES-000282,relative_datation,miškovický typ,Míškovice Type,http://vocab.getty.edu/aat/300019262,134,HES-001467
HES-000337,relative_datation,lužická kultura,Lusatian Culture,http://vocab.getty.edu/aat/300019362,741,HES-001483
HES-000394,relative_datation,šárecký typ,Šárka Type,http://vocab.getty.edu/aat/300107826,412,HES-001473
HES-000269,relative_datation,kultura s lineární keramikou,Linear Pottery Culture,http://vocab.getty.edu/aat/300107826,411,HES-001473
HES-000305,relative_datation,oberlauterbašská skupina,Oberlauterbach Group,http://vocab.getty.edu/aat/300019270,414,HES-001473
HES-000368,relative_datation,kultura nálevkovitých pohárů,Funnel Beaker Culture,http://vocab.getty.edu/aat/300019337,522,HES-001476
HES-000336,relative_datation,starší doba římská,Early Roman Period,http://vocab.getty.edu/aat/300020533,1210,HES-001465
HES-000272,relative_datation,přechod pozdní středověk/novověk,Late Middle Ages/Modern Transition,http://vocab.getty.edu/aat/300021141,1930,HES-000413
HES-000289,relative_datation,pravěk,prehistory,http://vocab.getty.edu/aat/300417277,1700,HES-000411
HES-000353,relative_datation,podolská kultura,Podolí Culture,http://vocab.getty.edu/aat/300019362,753,HES-001484
