id,vid,name,name_en,external_uri,weight,parent
HES-001496,license,Creative Commons Uveďte původ 4.0 Mezinárodní,Creative Commons Attribution 4.0 International,https://spdx.org/licenses/CC-BY-4.0.html,2,
HES-001497,license,Creative Commons Uveďte původ-Zachovejte licenci 4.0 Mezinárodní,Creative Commons Attribution-ShareAlike 4.0 International,https://spdx.org/licenses/CC-BY-SA-4.0.html,3,
HES-001498,license,Creative Commons Uveďte původ-Nezpracovávejte 4.0 Mezinárodní,Creative Commons Attribution-NoDerivatives 4.0 International,https://spdx.org/licenses/CC-BY-ND-4.0.html,4,
HES-001499,license,Creative Commons Uveďte původ-Neužívejte komerčně-Zachovejte licenci 4.0 Mezinárodní,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://spdx.org/licenses/CC-BY-NC-SA-4.0.html,5,
HES-001500,license,Creative Commons Uveďte původ-Neužívejte komerčně-Nezpracovávejte 4.0 Mezinárodní,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,https://spdx.org/licenses/CC-BY-NC-ND-4.0.html,6,
HES-001490,license,neznámá,unknown,,7,
