vid,id,name,name_en,external_uri,weight,parent
feature_type,HES-000493,hráz,embankment/dam,http://vocab.getty.edu/aat/300008023,302,HES-000573
feature_type,HES-000494,chodba,corridor,http://vocab.getty.edu/aat/300004294,303,HES-000573
feature_type,HES-000495,klenba,vaults,http://vocab.getty.edu/aat/300001324,304,HES-000573
feature_type,HES-000496,kaple,chapel,http://vocab.getty.edu/aat/300004590,701,HES-000577
feature_type,HES-000497,(polo)zemnice,pit house,http://vocab.getty.edu/aat/300137527,103,HES-000571
feature_type,HES-000498,základy,foundations,http://vocab.getty.edu/aat/300000919,311,HES-000573
feature_type,HES-000499,křtitelnice,baptismal font,http://vocab.getty.edu/aat/300080617,703,HES-000577
feature_type,HES-000500,menhir,menhir,http://vocab.getty.edu/aat/300006985,705,HES-000577
feature_type,HES-000501,oltář,altar,http://vocab.getty.edu/aat/300003725,706,HES-000577
feature_type,HES-000502,smírčí kříž,wayside cross,http://vocab.getty.edu/aat/300006969,708,HES-000577
feature_type,HES-000503,mezní pás,field boundary,http://vocab.getty.edu/aat/300004182,807,HES-000578
feature_type,HES-000504,plužina,field system,http://vocab.getty.edu/aat/300008632,808,HES-000578
feature_type,HES-000505,rybník/nádrž,pond/water tank,http://vocab.getty.edu/aat/300008688,809,HES-000578
feature_type,HES-000506,palebné postavení,gun emplacement,http://vocab.getty.edu/aat/300002501,907,HES-000579
feature_type,HES-000507,palisáda,palisade,http://vocab.getty.edu/aat/300003717,908,HES-000579
feature_type,HES-000508,příkop,moat,http://vocab.getty.edu/aat/300003716,910,HES-000579
feature_type,HES-000509,věž,tower,http://vocab.getty.edu/aat/300004862,912,HES-000579
feature_type,HES-000510,věžice,half tower,http://vocab.getty.edu/aat/300411504,913,HES-000579
feature_type,HES-000511,šibenice,gallows,http://vocab.getty.edu/aat/300266883,111,HES-000571
feature_type,HES-000512,hliník,clay pit,http://vocab.getty.edu/aat/300000389,207,HES-000572
feature_type,HES-000513,náhon,millrace,http://vocab.getty.edu/aat/300006080,209,HES-000572
feature_type,HES-000514,studna,water well,http://vocab.getty.edu/aat/300152327,211,HES-000572
feature_type,HES-000515,inženýrské sítě,utilities,http://vocab.getty.edu/aat/300152723,500,HES-000575
feature_type,HES-000516,kolektor,collector,http://vocab.getty.edu/aat/300152723,502,HES-000575
feature_type,HES-000517,trativod,drainage,http://vocab.getty.edu/aat/300164058,503,HES-000575
feature_type,HES-000518,vodovod,water supply pipe,http://vocab.getty.edu/aat/300432673,504,HES-000575
feature_type,HES-000519,součást komunikace,transportation structure,http://vocab.getty.edu/aat/300120693,600,HES-000576
feature_type,HES-000520,cesta,path/road,http://vocab.getty.edu/aat/300008217,601,HES-000576
feature_type,HES-000521,hať,corduroy road,http://vocab.getty.edu/aat/300404854,602,HES-000576
feature_type,HES-000522,mezník/patník,milestone/boundary stone,http://vocab.getty.edu/aat/300006961,603,HES-000576
feature_type,HES-000523,most,bridge,http://vocab.getty.edu/aat/300007836,604,HES-000576
feature_type,HES-000524,úvoz,hollow way,http://vocab.getty.edu/aat/300008295,605,HES-000576
feature_type,HES-000525,kultovní/sakrální objekt,ritual/sacral feature,http://vocab.getty.edu/aat/300263489,700,HES-000577
feature_type,HES-000526,zahrada,garden,http://vocab.getty.edu/aat/300008090,811,HES-000578
