vid,id,name,name_en,external_uri,weight,parent
object_type,HES-000798,kosa,scythe,http://vocab.getty.edu/aat/300024371,907,HES-000850
object_type,HES-000799,motyka/krumpáč,mattock/pickaxe,http://vocab.getty.edu/aat/300024491,910,HES-000850
object_type,HES-000800,pilník,file,http://vocab.getty.edu/aat/300024809,913,HES-000850
object_type,HES-000801,sekáč,chopper,http://vocab.getty.edu/aat/300024665,914,HES-000850
object_type,HES-000802,sekera,axe,http://vocab.getty.edu/aat/300024664,915,HES-000850
object_type,HES-000803,brousek,whetstone,http://vocab.getty.edu/aat/300023299,1001,HES-000851
object_type,HES-000804,jehla/špendlík,needle/pin,http://vocab.getty.edu/aat/300024789,1007,HES-000851
object_type,HES-000805,náprstek,thimble,http://vocab.getty.edu/aat/300247551,1011,HES-000851
object_type,HES-000806,nůž,knife,http://vocab.getty.edu/aat/300024668,1012,HES-000851
object_type,HES-000807,nůžky,scissors,http://vocab.getty.edu/aat/300023459,1013,HES-000851
object_type,HES-000808,pinzeta,tweezers,http://vocab.getty.edu/aat/300024749,1014,HES-000851
object_type,HES-000809,přeslen,spindle whorl,http://vocab.getty.edu/aat/300265738,1015,HES-000851
object_type,HES-000810,rydlo,graver,http://vocab.getty.edu/aat/300022718,1016,HES-000851
object_type,HES-000811,stilus,stylus,http://vocab.getty.edu/aat/300022483,1017,HES-000851
object_type,HES-000812,nápažník,armlet,http://vocab.getty.edu/aat/300045990,1210,HES-000853
object_type,HES-000813,cihla,brick,http://vocab.getty.edu/aat/300010463,1701,HES-000858
object_type,HES-000814,řetěz,chain,http://vocab.getty.edu/aat/300014625,1713,HES-000858
object_type,HES-000815,střešní krytina,roofing tile,http://vocab.getty.edu/aat/300010699,1714,HES-000858
object_type,HES-000816,trám,beam,http://vocab.getty.edu/aat/300001497,1715,HES-000858
object_type,HES-000817,zámek,lock,http://vocab.getty.edu/aat/300033407,1716,HES-000858
object_type,HES-000818,vzorek,sample,http://vocab.getty.edu/aat/300428645,1900,HES-000860
object_type,HES-000819,vědro/situla,bucket/situla,http://vocab.getty.edu/aat/300045651,823,HES-000849
object_type,HES-000820,dýka,dagger,http://vocab.getty.edu/aat/300037058,602,HES-000847
object_type,HES-000821,kopí/hrot kopí,spear/spearhead,http://vocab.getty.edu/aat/300037038,603,HES-000847
object_type,HES-000822,kuše,crossbow,http://vocab.getty.edu/aat/300037000,604,HES-000847
object_type,HES-000823,luk,bow,http://vocab.getty.edu/aat/300036999,605,HES-000847
object_type,HES-000824,dláto,chisel,http://vocab.getty.edu/aat/300024665,1004,HES-000851
object_type,HES-000825,hladítko,smoother,http://vocab.getty.edu/aat/300433081,1005,HES-000851
object_type,HES-000826,hřeben,comb,http://vocab.getty.edu/aat/300236397,1006,HES-000851
object_type,HES-000827,šídlo,awl,http://vocab.getty.edu/aat/300024663,1018,HES-000851
object_type,HES-000828,nehotový výrobek/polotovar,semiproduct/blank,http://vocab.getty.edu/aat/300194594,1100,HES-000852
object_type,HES-000829,hřivna,ingot,http://vocab.getty.edu/aat/300137865,1101,HES-000852
object_type,HES-000830,ruda,ore,http://vocab.getty.edu/aat/300152583,1102,HES-000852
object_type,HES-000831,slitek,bloom,http://vocab.getty.edu/aat/300421990,1103,HES-000852
object_type,HES-000832,surovina,raw material,http://vocab.getty.edu/aat/300015351,1104,HES-000852
object_type,HES-000833,valoun,pebble,http://vocab.getty.edu/aat/300011691,1105,HES-000852
object_type,HES-000834,ozdoba,adornment,http://vocab.getty.edu/aat/300386734,1200,HES-000853
object_type,HES-000835,náhrdelník,necklace,http://vocab.getty.edu/aat/300046001,1207,HES-000853
object_type,HES-000836,nánožník,anklet,http://vocab.getty.edu/aat/300209294,1209,HES-000853
object_type,HES-000837,přívěsek/závěsek,pendant,http://vocab.getty.edu/aat/300046002,1215,HES-000853
object_type,HES-000838,záušnice,temple ring,http://vocab.getty.edu/aat/300209301,1219,HES-000853
object_type,HES-000839,písemnost,written document,http://vocab.getty.edu/aat/300189226,1300,HES-000854
object_type,HES-000840,kniha,book,http://vocab.getty.edu/aat/300028051,1301,HES-000854
object_type,HES-000841,váza,vase,http://vocab.getty.edu/aat/300132254,822,HES-000849
