vid,id,name,name_en,external_uri,weight,parent
temporal_subjects,HES-000372,řivnáčská kultura,Řivnáč Culture,http://vocab.getty.edu/aat/300106753,533,HES-001477
temporal_subjects,HES-000347,industriální období,Industrial Period,http://vocab.getty.edu/aat/300264736,2400,HES-000417
temporal_subjects,HES-000310,mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),http://vocab.getty.edu/aat/300019368,830,HES-001487
temporal_subjects,HES-000367,kultura Retz-Bajč-Křepice,Retz-Bajč-Křepice (Furchenstich) Culture,http://vocab.getty.edu/aat/300106751,521,HES-001476
temporal_subjects,HES-000326,pozdněhradištní období,Final Hillfort Period,http://vocab.getty.edu/aat/300020766,1853,HES-001472
temporal_subjects,HES-000350,novověk–industriální období,Modern–Industrial Period,http://vocab.getty.edu/aat/300021033,2500,HES-000420
temporal_subjects,HES-000263,epigravettien,Epigravettian,http://vocab.getty.edu/aat/300019300,137,HES-001467
temporal_subjects,HES-000311,gravettien,Gravettian,http://vocab.getty.edu/aat/300019297,135,HES-001467
temporal_subjects,HES-000323,středodunajská mohylová kultura,Middle-Danubian Tumulus Culture,http://vocab.getty.edu/aat/300019360,721,HES-001481
temporal_subjects,HES-000280,mladší eneolit,Late Eneolithic,http://vocab.getty.edu/aat/300106755,540,HES-001478
temporal_subjects,HES-000288,doba laténská–římská,La Tène–Roman Period,http://vocab.getty.edu/aat/300019279,1300,HES-000407
temporal_subjects,HES-000366,starší eneolit,Early Eneolithic,http://vocab.getty.edu/aat/300106751,520,HES-001476
temporal_subjects,HES-000338,velatická kultura,Velatice Culture,http://vocab.getty.edu/aat/300019362,742,HES-001483
temporal_subjects,HES-000264,pozdní paleolit,Epipalaeolithic,http://vocab.getty.edu/aat/300106730,140,HES-001468
temporal_subjects,HES-000298,slezská kultura,Silesian Culture,http://vocab.getty.edu/aat/300019362,755,HES-001484
temporal_subjects,HES-000256,kultura púchovská,Púchov Culture,http://vocab.getty.edu/aat/300019384,1031,HES-001461
temporal_subjects,HES-000385,raný středověk,Early Middle Ages,http://vocab.getty.edu/aat/300020760,1800,HES-000412
temporal_subjects,HES-000364,schusseriedská kultura,Schussenried Culture,http://vocab.getty.edu/aat/300106751,513,HES-001475
temporal_subjects,HES-000348,industriální období 1,Industrial Period 1,http://vocab.getty.edu/aat/300404513,2410,HES-000417
temporal_subjects,HES-000375,kultura se šňůrovou keramikou,Corded Ware Culture,http://vocab.getty.edu/aat/300106852,551,HES-001479
temporal_subjects,HES-000303,vyspělé mladohradištní období,Advanced Late Hillfort Period,http://vocab.getty.edu/aat/300020766,1852,HES-001472
temporal_subjects,HES-000345,mladší doba stěhování národů,Late Migration Period,http://vocab.getty.edu/aat/300106913,1420,HES-001470
temporal_subjects,HES-000390,doba bronzová,Bronze Age,http://vocab.getty.edu/aat/300019275,700,HES-000401
temporal_subjects,HES-000392,středověk–novověk,Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2300,HES-000416
temporal_subjects,HES-000257,kultura przeworská,Przeworsk Culture,http://vocab.getty.edu/aat/300019384,1032,HES-001461
temporal_subjects,HES-000304,zemědělský pravěk,farming prehistory,http://vocab.getty.edu/aat/300417277,1600,HES-000411
temporal_subjects,HES-000314,krumlovien,Krumlovian,http://vocab.getty.edu/aat/300019261,124,HES-001464
temporal_subjects,HES-000291,starší paleolit,Lower Palaeolithic,http://vocab.getty.edu/aat/300019260,110,HES-001463
temporal_subjects,HES-000281,období popelnicových polí,Urnfield Period,http://vocab.getty.edu/aat/300019362,730,HES-001482
temporal_subjects,HES-000267,neolit,Neolithic,http://vocab.getty.edu/aat/300019267,400,HES-000398
temporal_subjects,HES-000378,slezskoplatěnická kultura (HaC–D),Silesian–Platěnice Culture (HaC–D),http://vocab.getty.edu/aat/300019368,816,HES-001485
temporal_subjects,HES-000300,platěnická kultura,Platěnice Culture,http://vocab.getty.edu/aat/300019368,815,HES-001485
temporal_subjects,HES-000293,knovízská kultura,Knovíz Culture,http://vocab.getty.edu/aat/300019278,744,HES-001483
temporal_subjects,HES-000357,bošácká skupina,Bošáca Group,http://vocab.getty.edu/aat/300106755,542,HES-001478
temporal_subjects,HES-000287,jordanovská kultura,Jordanów Culture,http://vocab.getty.edu/aat/300106751,512,HES-001475
temporal_subjects,HES-000321,věteřovská kultura,Věteřov Culture,http://vocab.getty.edu/aat/300019276,715,HES-001480
temporal_subjects,HES-000308,turnovský typ,Turnov type,http://vocab.getty.edu/aat/300019368,817,HES-001485
temporal_subjects,HES-000334,doba halštatská–laténská,Hallstatt–La Tène Period,http://vocab.getty.edu/aat/300019279,1100,HES-000405
temporal_subjects,HES-000265,epimagdalénien,Epimagdalenian,http://vocab.getty.edu/aat/300019305,141,HES-001468
temporal_subjects,HES-000260,szeletien,Szeletian,http://vocab.getty.edu/aat/300106812,131,HES-001467
temporal_subjects,HES-000331,bylanská kultura,Bylany Culture,http://vocab.getty.edu/aat/300019368,812,HES-001485
temporal_subjects,HES-000381,novověk 1,Modern Period 1,http://vocab.getty.edu/aat/300021140,2110,HES-000415
temporal_subjects,HES-000270,přechod raný/vrcholný středověk,Early/High Middle Ages Transition,http://vocab.getty.edu/aat/300020760,1860,HES-000413
temporal_subjects,HES-000266,ostroměřská skupina,Ostroměř Group,http://vocab.getty.edu/aat/300106730,142,HES-001468
temporal_subjects,HES-000352,kultura Chlopice-Veselé,Chlopice-Veselé Culture,http://vocab.getty.edu/aat/300106747,554,HES-001479
temporal_subjects,HES-000383,pozdní doba bronzová,Final Bronze Age,http://vocab.getty.edu/aat/300019278,750,HES-001484
temporal_subjects,HES-000327,vrcholný–pozdní středověk,High–Late Middle Ages,http://vocab.getty.edu/aat/300111307,1900,HES-000413
temporal_subjects,HES-000333,střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),http://vocab.getty.edu/aat/300019384,1020,HES-001459
temporal_subjects,HES-000362,kultura s moravskou malovanou keramikou 1,Moravian Painted Ware Culture 1,http://vocab.getty.edu/aat/300019272,422,HES-001474
temporal_subjects,HES-000307,horákovská kultura,Horákov Culture,http://vocab.getty.edu/aat/300019368,814,HES-001485
temporal_subjects,HES-000369,ohrozimský typ,Ohrozim Type,http://vocab.getty.edu/aat/300106751,523,HES-001476
temporal_subjects,HES-000329,podmokelská skupina,Podmokly Group,http://vocab.getty.edu/aat/300019384,1011,HES-001458
temporal_subjects,HES-000292,micoquien,Micoquien,http://vocab.getty.edu/aat/300106810,123,HES-001464
temporal_subjects,HES-000387,neolit–eneolit,Neolithic–Eneolithic,http://vocab.getty.edu/aat/300019332,600,HES-000400
temporal_subjects,HES-000365,michelsberská kultura,Michelsberg Culture,http://vocab.getty.edu/aat/300106751,514,HES-001475
temporal_subjects,HES-000340,želiezovská skupina,Želizovce Group,http://vocab.getty.edu/aat/300019270,413,HES-001473
temporal_subjects,HES-000386,raný středověk 1,Early Middle Ages 1,http://vocab.getty.edu/aat/300019537,1810,HES-000412
temporal_subjects,HES-000370,střední eneolit,Middle Eneolithic,http://vocab.getty.edu/aat/300106753,530,HES-001477
temporal_subjects,HES-000275,mezolit,Mesolithic,http://vocab.getty.edu/aat/300019264,200,HES-000396
temporal_subjects,HES-000255,mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),http://vocab.getty.edu/aat/300019384,1030,HES-001461
temporal_subjects,HES-000319,starší doba bronzová,Early Bronze Age,http://vocab.getty.edu/aat/300019276,710,HES-001480
temporal_subjects,HES-000254,doba laténská,La Tène Period,http://vocab.getty.edu/aat/300019384,1000,HES-000404
